Date,Region_code,Org_code,Contract_code,Ambulance final dispositions,Recommend to A&E,N of calls
2017/7/1,,,111AA1,424,226,3898
2017/7/1,,,111AA2,71,24,914
2017/7/1,,,111AA4,90,61,1200
2017/7/1,,,111AA5,134,81,1354
2017/7/1,,,111AA6,33,22,284
2017/7/1,,,111AA7,36,44,406
2017/7/1,,,111AA9,30,25,283
2017/7/1,,,111AB2,64,19,1523
2017/7/1,,,111AB4,65,64,911
2017/7/1,,,111AC2,83,68,900
2017/7/1,,,111AC3,102,95,1380
2017/7/1,,,111AC4,60,67,1087
2017/7/1,,,111AC5,68,61,1091
2017/7/1,,,111AC6,60,57,895
2017/7/1,,,111AC7,25,9,287
2017/7/1,,,111AC8,122,42,1137
2017/7/1,,,111AC9,409,262,4228
2017/7/1,,,111AD4,68,57,755
2017/7/1,,,111AD5,86,81,918
2017/7/1,,,111AD6,71,87,967
2017/7/1,,,111AD7,73,102,1264
2017/7/1,,,111AD8,25,46,436
2017/7/1,,,111AD9,723,390,6440
2017/7/1,,,111AE1,216,144,2496
2017/7/1,,,111AE2,43,48,726
2017/7/1,,,111AE3,96,74,994
2017/7/1,,,111AE5,106,63,1014
2017/7/1,,,111AE6,65,58,697
2017/7/1,,,111AE7,129,106,1487
2017/7/1,,,111AE8,59,55,785
2017/7/1,,,111AE9,59,37,856
2017/7/1,,,111AF1,89,54,835
2017/7/1,,,111AF2,168,91,1438
2017/7/1,,,111AF4,97,64,1308
2017/7/1,,,111AF8,682,381,8142
2017/7/1,,,111AG4,101,57,938
2017/7/1,,,111AG5,74,83,1286
2017/7/1,,,111AG6,408,288,4496
2017/7/1,,,111AG7,42,47,751
2017/7/1,,,111AG8,124,101,1493
2017/7/2,,,111AA1,454,242,3533
2017/7/2,,,111AA2,69,37,816
2017/7/2,,,111AA4,105,55,976
2017/7/2,,,111AA5,116,70,1149
2017/7/2,,,111AA6,33,24,247
2017/7/2,,,111AA7,30,31,310
2017/7/2,,,111AA9,24,18,237
2017/7/2,,,111AB2,79,68,1289
2017/7/2,,,111AB4,62,71,808
2017/7/2,,,111AC2,78,53,725
2017/7/2,,,111AC3,97,77,1193
2017/7/2,,,111AC4,66,61,923
2017/7/2,,,111AC5,75,73,919
2017/7/2,,,111AC6,83,69,823
2017/7/2,,,111AC7,21,17,246
2017/7/2,,,111AC8,106,52,887
2017/7/2,,,111AC9,413,264,3890
2017/7/2,,,111AD4,68,68,698
2017/7/2,,,111AD5,93,83,832
2017/7/2,,,111AD6,63,91,800
2017/7/2,,,111AD7,56,96,1014
2017/7/2,,,111AD8,32,41,398
2017/7/2,,,111AD9,582,413,5775
2017/7/2,,,111AE1,226,136,2150
2017/7/2,,,111AE2,61,45,582
2017/7/2,,,111AE3,97,53,887
2017/7/2,,,111AE5,119,50,916
2017/7/2,,,111AE6,74,48,622
2017/7/2,,,111AE7,117,99,1137
2017/7/2,,,111AE8,70,56,655
2017/7/2,,,111AE9,58,33,666
2017/7/2,,,111AF1,98,49,702
2017/7/2,,,111AF2,165,99,1240
2017/7/2,,,111AF4,94,69,1275
2017/7/2,,,111AF8,697,449,7155
2017/7/2,,,111AG4,84,60,752
2017/7/2,,,111AG5,87,102,1153
2017/7/2,,,111AG6,429,273,4137
2017/7/2,,,111AG7,46,47,647
2017/7/2,,,111AG8,148,101,1428
2017/7/3,,,111AA1,313,237,2392
2017/7/3,,,111AA2,48,26,493
2017/7/3,,,111AA4,74,57,747
2017/7/3,,,111AA5,82,76,710
2017/7/3,,,111AA6,29,26,230
2017/7/3,,,111AA7,28,36,337
2017/7/3,,,111AA9,20,25,210
2017/7/3,,,111AB2,67,56,749
2017/7/3,,,111AB4,47,39,518
2017/7/3,,,111AC2,56,31,413
2017/7/3,,,111AC3,68,52,578
2017/7/3,,,111AC4,60,66,652
2017/7/3,,,111AC5,60,44,523
2017/7/3,,,111AC6,48,50,431
2017/7/3,,,111AC7,22,13,202
2017/7/3,,,111AC8,71,30,554
2017/7/3,,,111AC9,314,234,2607
2017/7/3,,,111AD4,52,51,581
2017/7/3,,,111AD5,55,82,668
2017/7/3,,,111AD6,79,105,783
2017/7/3,,,111AD7,76,99,900
2017/7/3,,,111AD8,38,54,418
2017/7/3,,,111AD9,336,301,3706
2017/7/3,,,111AE1,136,109,1252
2017/7/3,,,111AE2,41,37,422
2017/7/3,,,111AE3,68,57,531
2017/7/3,,,111AE5,79,32,550
2017/7/3,,,111AE6,46,33,314
2017/7/3,,,111AE7,86,80,763
2017/7/3,,,111AE8,29,29,348
2017/7/3,,,111AE9,44,17,300
2017/7/3,,,111AF1,55,20,331
2017/7/3,,,111AF2,92,72,669
2017/7/3,,,111AF4,67,40,722
2017/7/3,,,111AF8,464,317,4384
2017/7/3,,,111AG4,68,32,391
2017/7/3,,,111AG5,62,74,775
2017/7/3,,,111AG6,244,214,2157
2017/7/3,,,111AG7,36,39,447
2017/7/3,,,111AG8,107,74,715
2017/7/4,,,111AA1,308,169,2022
2017/7/4,,,111AA2,57,28,467
2017/7/4,,,111AA4,74,54,687
2017/7/4,,,111AA5,81,52,604
2017/7/4,,,111AA6,27,16,200
2017/7/4,,,111AA7,37,26,332
2017/7/4,,,111AA9,11,18,154
2017/7/4,,,111AB2,49,64,708
2017/7/4,,,111AB4,35,45,419
2017/7/4,,,111AC2,61,31,409
2017/7/4,,,111AC3,69,43,516
2017/7/4,,,111AC4,64,61,797
2017/7/4,,,111AC5,77,50,481
2017/7/4,,,111AC6,48,58,393
2017/7/4,,,111AC7,15,15,183
2017/7/4,,,111AC8,70,30,554
2017/7/4,,,111AC9,292,222,2385
2017/7/4,,,111AD4,67,42,561
2017/7/4,,,111AD5,68,78,648
2017/7/4,,,111AD6,53,69,732
2017/7/4,,,111AD7,61,66,854
2017/7/4,,,111AD8,34,44,388
2017/7/4,,,111AD9,283,250,3390
2017/7/4,,,111AE1,129,134,1194
2017/7/4,,,111AE2,19,41,366
2017/7/4,,,111AE3,52,54,502
2017/7/4,,,111AE5,67,47,449
2017/7/4,,,111AE6,50,29,326
2017/7/4,,,111AE7,77,86,666
2017/7/4,,,111AE8,47,30,348
2017/7/4,,,111AE9,45,22,319
2017/7/4,,,111AF1,44,16,275
2017/7/4,,,111AF2,81,61,631
2017/7/4,,,111AF4,74,38,669
2017/7/4,,,111AF8,439,289,3843
2017/7/4,,,111AG4,60,26,315
2017/7/4,,,111AG5,70,79,814
2017/7/4,,,111AG6,236,183,1890
2017/7/4,,,111AG7,30,31,337
2017/7/4,,,111AG8,69,62,618
2017/7/5,,,111AA1,288,177,2059
2017/7/5,,,111AA2,54,20,417
2017/7/5,,,111AA4,82,52,678
2017/7/5,,,111AA5,109,57,759
2017/7/5,,,111AA6,32,21,184
2017/7/5,,,111AA7,31,35,298
2017/7/5,,,111AA9,13,13,148
2017/7/5,,,111AB2,41,39,691
2017/7/5,,,111AB4,41,34,440
2017/7/5,,,111AC2,52,32,353
2017/7/5,,,111AC3,71,58,612
2017/7/5,,,111AC4,45,42,546
2017/7/5,,,111AC5,45,55,452
2017/7/5,,,111AC6,45,57,406
2017/7/5,,,111AC7,8,11,142
2017/7/5,,,111AC8,73,28,527
2017/7/5,,,111AC9,297,203,2259
2017/7/5,,,111AD4,49,29,450
2017/7/5,,,111AD5,69,64,588
2017/7/5,,,111AD6,45,64,613
2017/7/5,,,111AD7,71,79,751
2017/7/5,,,111AD8,27,45,362
2017/7/5,,,111AD9,320,240,3375
2017/7/5,,,111AE1,127,99,1127
2017/7/5,,,111AE2,33,25,369
2017/7/5,,,111AE3,65,56,433
2017/7/5,,,111AE5,67,42,422
2017/7/5,,,111AE6,37,35,306
2017/7/5,,,111AE7,87,65,590
2017/7/5,,,111AE8,35,41,394
2017/7/5,,,111AE9,33,14,312
2017/7/5,,,111AF1,59,22,293
2017/7/5,,,111AF2,106,65,680
2017/7/5,,,111AF4,49,47,642
2017/7/5,,,111AF8,465,320,4191
2017/7/5,,,111AG4,61,34,382
2017/7/5,,,111AG5,63,75,700
2017/7/5,,,111AG6,245,166,1901
2017/7/5,,,111AG7,32,33,363
2017/7/5,,,111AG8,79,56,623
2017/7/6,,,111AA1,254,185,2212
2017/7/6,,,111AA2,52,25,450
2017/7/6,,,111AA4,76,48,769
2017/7/6,,,111AA5,84,32,613
2017/7/6,,,111AA6,27,18,175
2017/7/6,,,111AA7,23,36,335
2017/7/6,,,111AA9,20,9,199
2017/7/6,,,111AB2,47,55,666
2017/7/6,,,111AB4,44,43,494
2017/7/6,,,111AC2,47,33,359
2017/7/6,,,111AC3,59,47,583
2017/7/6,,,111AC4,50,47,575
2017/7/6,,,111AC5,54,32,457
2017/7/6,,,111AC6,56,34,380
2017/7/6,,,111AC7,18,10,162
2017/7/6,,,111AC8,68,27,542
2017/7/6,,,111AC9,305,198,2425
2017/7/6,,,111AD4,62,48,513
2017/7/6,,,111AD5,79,69,581
2017/7/6,,,111AD6,51,85,733
2017/7/6,,,111AD7,69,85,834
2017/7/6,,,111AD8,37,43,419
2017/7/6,,,111AD9,340,278,3419
2017/7/6,,,111AE1,130,101,1093
2017/7/6,,,111AE2,35,37,455
2017/7/6,,,111AE3,63,44,497
2017/7/6,,,111AE5,67,41,482
2017/7/6,,,111AE6,37,33,279
2017/7/6,,,111AE7,66,72,575
2017/7/6,,,111AE8,39,16,294
2017/7/6,,,111AE9,36,22,306
2017/7/6,,,111AF1,55,27,317
2017/7/6,,,111AF2,110,62,608
2017/7/6,,,111AF4,61,67,821
2017/7/6,,,111AF8,490,281,3900
2017/7/6,,,111AG4,57,43,364
2017/7/6,,,111AG5,82,82,821
2017/7/6,,,111AG6,252,185,2227
