Date,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department
2020/4/1,Y02572,NHS ENGLAND NORTH EAST AND YORKSHIRE,PARK COMMUNITY PRACTICE,0,0,0
2020/4/1,RY8,NHS ENGLAND MIDLANDS,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,2626
2020/4/1,NTV0W,NHS ENGLAND SOUTH EAST,WOKING WALK IN CENTRE,0,0,833
2020/4/1,Y02532,NHS ENGLAND NORTH WEST,MIRIAM MINOR EMERGENCY,0,0,507
2020/4/1,NTV0B,NHS ENGLAND SOUTH EAST,ASHFORD WALK-IN-CENTRE,0,0,955
2020/4/1,AQN04,NHS ENGLAND SOUTH EAST,PHL LYMINGTON UTC,0,0,743
2020/4/1,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,1075
2020/4/1,RLQ,NHS ENGLAND MIDLANDS,WYE VALLEY NHS TRUST,2860,0,0
2020/4/1,Y02973,NHS ENGLAND LONDON,KINGS PARK SURGERY,0,0,0
2020/4/1,REF,NHS ENGLAND SOUTH WEST,ROYAL CORNWALL HOSPITALS NHS TRUST,2495,0,4340
2020/4/1,NTP11,NHS ENGLAND SOUTH EAST,SOUTHAMPTON NHS TREATMENT CENTRE,0,0,1582
2020/4/1,NR3,NHS ENGLAND MIDLANDS,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,1171
2020/4/1,RQX,NHS ENGLAND LONDON,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,4073,0,0
2020/4/1,C82009,NHS ENGLAND MIDLANDS,MARKET HARBOROUGH MED.CTR,0,0,85
2020/4/1,RBZ,NHS ENGLAND SOUTH WEST,NORTHERN DEVON HEALTHCARE NHS TRUST,2346,0,0
2020/4/1,RDY,NHS ENGLAND SOUTH WEST,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0
2020/4/1,RYY,NHS ENGLAND SOUTH EAST,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,2595
2020/4/1,C82038,NHS ENGLAND MIDLANDS,LATHAM HOUSE MEDICAL PRACTICE,0,0,69
2020/4/1,AAH,NHS ENGLAND SOUTH WEST,TETBURY HOSPITAL TRUST LTD,0,0,99
2020/4/1,Y02615,NHS ENGLAND MIDLANDS,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,2163
2020/4/1,Y00751,NHS ENGLAND SOUTH EAST,EAST BERKS PRIMARY CARE OOH(WAM),0,0,724
2020/4/1,Y03082,NHS ENGLAND LONDON,HAROLD WOOD WIC,0,0,1346
2020/4/1,RW1,NHS ENGLAND SOUTH EAST,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,283
2020/4/1,RBQ,NHS ENGLAND NORTH WEST,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0
2020/4/1,NQT5H,NHS ENGLAND SOUTH WEST,PAULTON MEMORIAL HOSPITAL,0,0,54
2020/4/1,NQT5F,NHS ENGLAND NORTH WEST,SKELMERSDALE WALK IN CENTRE,0,0,112
2020/4/1,DD401,NHS ENGLAND SOUTH WEST,EXMOUTH MINOR INJURY UNIT,0,0,374
2020/4/1,C82010,NHS ENGLAND MIDLANDS,OAKHAM MEDICAL PRACTICE,0,0,118
2020/4/1,RXQ,NHS ENGLAND SOUTH EAST,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,3609,794,1159
2020/4/1,RA4,NHS ENGLAND SOUTH WEST,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,2654,0,0
2020/4/1,RBS,NHS ENGLAND NORTH WEST,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,2062,0,0
2020/4/1,Y02961,NHS ENGLAND MIDLANDS,SUMMERFIELD GP SURG & URGENT CARE CENTRE,0,0,728
2020/4/1,L83087,NHS ENGLAND SOUTH WEST,OKEHAMPTON MEDICAL CENTRE,0,0,38
2020/4/1,RNU,NHS ENGLAND SOUTH EAST,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,1222
2020/4/1,M85813,NHS ENGLAND MIDLANDS,BIRMINGHAM WIC,0,0,360
2020/4/1,RHU,NHS ENGLAND SOUTH EAST,PORTSMOUTH HOSPITALS NHS TRUST,5630,29,921
2020/4/1,NL7,NHS ENGLAND MIDLANDS,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,1429
2020/4/1,NDJ,NHS ENGLAND SOUTH EAST,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,614
2020/4/1,R1D,NHS ENGLAND MIDLANDS,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,0,0,1064
2020/4/1,RT3,NHS ENGLAND LONDON,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,0,0,0
2020/4/1,G82071,NHS ENGLAND SOUTH EAST,WHITSTABLE MEDICAL PRACTICE,0,0,708
2020/4/1,RLT,NHS ENGLAND MIDLANDS,GEORGE ELIOT HOSPITAL NHS TRUST,3357,0,0
2020/4/1,RFS,NHS ENGLAND MIDLANDS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,3546,0,824
2020/4/1,RJ7,NHS ENGLAND LONDON,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5897,0,0
2020/4/1,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,4301,0,0
2020/4/1,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE,WORKINGTON HEALTH LIMITED,0,0,150
2020/4/1,Y03094,NHS ENGLAND LONDON,THE JUNCTION HC - UNREGISTERED PATIENTS,0,0,472
2020/4/1,RYR,NHS ENGLAND SOUTH EAST,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,6866,0,0
2020/4/1,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,6895,0,0
2020/4/1,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,1383
2020/4/1,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,3492,0,0
2020/4/1,RPC,NHS ENGLAND SOUTH EAST,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,396
2020/4/1,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,192
2020/4/1,RXW,NHS ENGLAND MIDLANDS,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,5504,0,176
2020/4/1,RXL,NHS ENGLAND NORTH WEST,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,3744,0,3558
2020/4/1,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE,LOCAL CARE DIRECT,0,0,787
2020/4/1,RWP,NHS ENGLAND MIDLANDS,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,6379,0,1929
2020/4/1,Y03571,NHS ENGLAND MIDLANDS,CORBY URGENT CARE CENTRE,0,0,2026
